City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,yokadouma,15.05,3.5167,19.44,92,100,0.16,CM,1683506252
322,gubkinskiy,76.5026,64.434,7.88,85,100,10.31,RU,1683506252
323,khandyga,135.6,62.6667,0.89,74,100,3.63,RU,1683506252
324,baryshivka,31.3217,50.361,5.37,66,100,4.38,UA,1683506252
325,buenos aires,-58.3772,-34.6132,18.21,61,0,1.54,AR,1683506101
326,genhe,121.5167,50.7833,6.43,30,6,6.23,CN,1683506253
327,port sudan,37.2164,19.6175,25.82,48,5,3.02,SD,1683505991
328,bardai,7.2333,11.65,26.79,13,88,3.68,NG,1683506253
329,christchurch,172.6333,-43.5333,22.49,65,71,4.63,NZ,1683506104
330,kokrajhar,90.2718,26.399,27.0,49,0,5.55,IN,1683506253
331,new norfolk,147.0587,-42.7826,13.29,65,100,1.79,AU,1683506253
332,salinopolis,-47.3561,-0.6136,26.48,85,99,4.36,BR,1683506253
333,labrador city,-66.9114,52.9463,0.95,55,100,4.12,CA,1683506254
334,egilsstadir,-14.3948,65.2653,8.95,81,75,4.63,IS,1683505974
335,corry,-79.6403,41.9203,17.67,99,99,2.36,US,1683506254
336,nizhneangarsk,109.55,55.7833,1.35,78,82,1.27,RU,1683506254
337,tshabong,22.45,-26.05,15.16,72,0,3.0,BW,1683506254
338,sitka,-135.33,57.0531,9.94,62,75,3.6,US,1683506003
339,altai,96.2583,46.3722,1.65,39,0,4.48,MN,1683506255
340,igarka,86.5833,67.4667,-5.61,89,100,6.48,RU,1683506255
341,kinshasa,15.3215,-4.3246,24.18,94,20,3.09,CD,1683506255
342,dorado,-66.2677,18.4588,27.99,76,26,0.45,PR,1683506255
343,selfoss,-20.9971,63.9331,9.47,89,99,2.6,IS,1683506255
344,waddan,16.139,29.1614,22.23,24,86,3.89,LY,1683506256
345,minas de marcona,-75.1103,-15.2119,16.42,82,84,4.53,PE,1683506256
346,port augusta,137.7667,-32.5,14.81,47,94,4.64,AU,1683506256
347,chichiriviche,-68.2772,10.9333,26.08,89,27,5.2,VE,1683506256
348,castanos,-101.4167,26.7833,31.77,40,40,9.26,MX,1683506257
349,rajapalaiyam,77.5667,9.45,25.42,80,99,1.34,IN,1683506257
350,bucerias,-105.3333,20.75,28.32,78,0,6.17,MX,1683506258
351,gordon,-84.8666,34.5004,26.75,61,0,2.06,US,1683506258
352,sarupathar,93.8094,26.1984,25.26,63,2,1.97,IN,1683506258
353,tsiombe,45.4833,-25.3,19.95,78,0,1.76,MG,1683506258
354,kenora,-94.4337,49.8167,10.54,87,100,7.2,CA,1683506258
355,bikenibeu village,173.1241,1.3673,31.98,70,40,3.6,KI,1683506258
356,cartagena,-75.5144,10.3997,27.79,78,0,5.14,CO,1683506258
357,akoupe,-3.9003,6.39,23.47,93,100,0.57,CI,1683506259
358,elverum,11.5623,60.8819,0.13,97,18,0.64,NO,1683506259
359,dzilam gonzalez,-88.9333,21.2833,27.16,75,56,5.19,MX,1683506259
360,basco,121.9702,20.4487,26.88,82,43,6.38,PH,1683506259
